	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	36	0.666666666666667	1	0.00925925925925926
2	162	108	0.666666666666667	42	0.777777777777778	0	0
3	162	108	0.666666666666667	48	0.888888888888889	1	0.00925925925925926
4	162	108	0.666666666666667	46	0.851851851851852	0	0
5	162	108	0.666666666666667	46	0.851851851851852	1	0.00925925925925926
6	162	108	0.666666666666667	44	0.814814814814815	2	0.0185185185185185
7	162	108	0.666666666666667	40	0.740740740740741	1	0.00925925925925926
8	162	108	0.666666666666667	43	0.796296296296296	1	0.00925925925925926
9	162	108	0.666666666666667	37	0.685185185185185	0	0
10	162	108	0.666666666666667	46	0.851851851851852	1	0.00925925925925926
