	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	10	0.185185185185185	0	0
2	162	108	0.666666666666667	14	0.259259259259259	0	0
3	162	108	0.666666666666667	11	0.203703703703704	0	0
4	162	108	0.666666666666667	14	0.259259259259259	0	0
5	162	108	0.666666666666667	11	0.203703703703704	0	0
6	162	108	0.666666666666667	13	0.240740740740741	0	0
7	162	108	0.666666666666667	13	0.240740740740741	0	0
8	162	108	0.666666666666667	16	0.296296296296296	0	0
9	162	108	0.666666666666667	16	0.296296296296296	0	0
10	162	108	0.666666666666667	16	0.296296296296296	0	0
