	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	10	0.185185185185185	12	0.111111111111111
2	162	108	0.666666666666667	9	0.166666666666667	19	0.175925925925926
3	162	108	0.666666666666667	14	0.259259259259259	11	0.101851851851852
4	162	108	0.666666666666667	14	0.259259259259259	13	0.12037037037037
5	162	108	0.666666666666667	10	0.185185185185185	18	0.166666666666667
6	162	108	0.666666666666667	13	0.240740740740741	23	0.212962962962963
7	162	108	0.666666666666667	15	0.277777777777778	16	0.148148148148148
8	162	108	0.666666666666667	10	0.185185185185185	20	0.185185185185185
9	162	108	0.666666666666667	14	0.259259259259259	13	0.12037037037037
10	162	108	0.666666666666667	11	0.203703703703704	17	0.157407407407407
