	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	44	0.814814814814815	65	0.601851851851852
2	162	108	0.666666666666667	44	0.814814814814815	68	0.62962962962963
3	162	108	0.666666666666667	38	0.703703703703704	67	0.62037037037037
4	162	108	0.666666666666667	43	0.796296296296296	75	0.694444444444444
5	162	108	0.666666666666667	37	0.685185185185185	74	0.685185185185185
6	162	108	0.666666666666667	45	0.833333333333333	67	0.62037037037037
7	162	108	0.666666666666667	43	0.796296296296296	74	0.685185185185185
8	162	108	0.666666666666667	45	0.833333333333333	72	0.666666666666667
9	162	108	0.666666666666667	44	0.814814814814815	69	0.638888888888889
10	162	108	0.666666666666667	38	0.703703703703704	75	0.694444444444444
