	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	43	0.796296296296296	74	0.685185185185185
2	162	108	0.666666666666667	43	0.796296296296296	67	0.62037037037037
3	162	108	0.666666666666667	41	0.759259259259259	72	0.666666666666667
4	162	108	0.666666666666667	43	0.796296296296296	77	0.712962962962963
5	162	108	0.666666666666667	43	0.796296296296296	70	0.648148148148148
6	162	108	0.666666666666667	43	0.796296296296296	68	0.62962962962963
7	162	108	0.666666666666667	41	0.759259259259259	66	0.611111111111111
8	162	108	0.666666666666667	43	0.796296296296296	64	0.592592592592593
9	162	108	0.666666666666667	44	0.814814814814815	64	0.592592592592593
10	162	108	0.666666666666667	42	0.777777777777778	70	0.648148148148148
