	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	38	0.703703703703704	0	0
2	162	108	0.666666666666667	42	0.777777777777778	0	0
3	162	108	0.666666666666667	48	0.888888888888889	0	0
4	162	108	0.666666666666667	45	0.833333333333333	0	0
5	162	108	0.666666666666667	37	0.685185185185185	0	0
6	162	108	0.666666666666667	45	0.833333333333333	0	0
7	162	108	0.666666666666667	48	0.888888888888889	0	0
8	162	108	0.666666666666667	46	0.851851851851852	0	0
9	162	108	0.666666666666667	47	0.87037037037037	0	0
10	162	108	0.666666666666667	47	0.87037037037037	0	0
