	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	16	0.296296296296296	26	0.240740740740741
2	162	108	0.666666666666667	22	0.407407407407407	22	0.203703703703704
3	162	108	0.666666666666667	18	0.333333333333333	24	0.222222222222222
4	162	108	0.666666666666667	16	0.296296296296296	27	0.25
5	162	108	0.666666666666667	17	0.314814814814815	26	0.240740740740741
6	162	108	0.666666666666667	15	0.277777777777778	29	0.268518518518519
7	162	108	0.666666666666667	19	0.351851851851852	23	0.212962962962963
8	162	108	0.666666666666667	19	0.351851851851852	23	0.212962962962963
9	162	108	0.666666666666667	26	0.481481481481481	26	0.240740740740741
10	162	108	0.666666666666667	15	0.277777777777778	29	0.268518518518519
