	n	train.size	trainingProportion	testing.error.nb	testing.error.rate	training.error.nb	training.error.rate
1	162	108	0.666666666666667	16	0.296296296296296	28	0.259259259259259
2	162	108	0.666666666666667	23	0.425925925925926	27	0.25
3	162	108	0.666666666666667	24	0.444444444444444	22	0.203703703703704
4	162	108	0.666666666666667	21	0.388888888888889	23	0.212962962962963
5	162	108	0.666666666666667	24	0.444444444444444	26	0.240740740740741
6	162	108	0.666666666666667	21	0.388888888888889	20	0.185185185185185
7	162	108	0.666666666666667	17	0.314814814814815	29	0.268518518518519
8	162	108	0.666666666666667	18	0.333333333333333	27	0.25
9	162	108	0.666666666666667	25	0.462962962962963	17	0.157407407407407
10	162	108	0.666666666666667	22	0.407407407407407	23	0.212962962962963
